Kinase,Z,method,AvgZ
PKA,5.55,710373303>0.15,3.9587499999999998
JNK,-4.54,710373303>0.15,-3.59875
ERK,-4.43,710373303>0.15,-3.2224999999999997
PKG,3.97,710373303>0.15,3.53875
DYRK,-3.94,710373303>0.15,-2.94375
P38,-3.49,710373303>0.15,-2.8175
PDK1,-3.11,710373303>0.15,-2.24375
RSK,3.07,710373303>0.15,2.37375
STE7,-2.66,710373303>0.15,-1.2862500000000001
DMPK,2.47,710373303>0.15,1.8137500000000002
PIM,2.45,710373303>0.15,1.77375
PKCD,2.38,710373303>0.15,1.22125
PHK,2.3,710373303>0.15,1.44625
MLK,2.3,710373303>0.15,0.66875
PAKA,2.27,710373303>0.15,2.1662500000000002
MST,-2.03,710373303>0.15,-0.9537499999999999
MTOR,-1.97,710373303>0.15,-1.49
NMO,-1.94,710373303>0.15,-1.11375
CDK,-1.88,710373303>0.15,-1.87125
AUR,1.83,710373303>0.15,0.685
PKCI,1.83,710373303>0.15,1.16625
AKT,1.77,710373303>0.15,0.4074999999999999
SGK,1.75,710373303>0.15,0.53875
STKR,-1.74,710373303>0.15,-1.66625
PKD,1.58,710373303>0.15,2.0949999999999998
HAL,1.52,710373303>0.15,0.77375
PKCA,1.51,710373303>0.15,1.7312500000000002
CK1,-1.45,710373303>0.15,-1.6712500000000001
PEK,-1.34,710373303>0.15,-0.62375
NAK,-1.33,710373303>0.15,-0.925
RIPK,1.31,710373303>0.15,0.9362499999999999
AMPK,1.3,710373303>0.15,1.1525
TLK,-1.3,710373303>0.15,-0.905
PKN,-1.29,710373303>0.15,-0.34375000000000006
PAKB,-1.28,710373303>0.15,0.11249999999999998
LKB,-1.27,710373303>0.15,-0.9987499999999999
NEK,-1.25,710373303>0.15,-0.5874999999999999
MAPKAPK,1.19,710373303>0.15,0.39499999999999996
MSN,1.16,710373303>0.15,0.585
CHK1,-1.14,710373303>0.15,-1.03875
SLK,1.09,710373303>0.15,1.55125
TAO,1.08,710373303>0.15,-0.39875
PASK,1.07,710373303>0.15,0.6625000000000001
STE11,-1.06,710373303>0.15,-0.16375000000000003
BUD32,1.06,710373303>0.15,-0.39625
MOS,1.06,710373303>0.15,0.40625
MARK,1.01,710373303>0.15,0.41125
ULK,-0.94,710373303>0.15,-0.64125
CLK,-0.94,710373303>0.15,-0.6475
WNK,-0.93,710373303>0.15,-0.10625000000000001
KHS,-0.91,710373303>0.15,-0.63875
BRSK,-0.91,710373303>0.15,-0.63125
CAMKK,-0.91,710373303>0.15,-0.63875
NIK,-0.89,710373303>0.15,-0.6325
IRAK,-0.84,710373303>0.15,-0.47625
PLK,-0.81,710373303>0.15,-1.22
PKCH,-0.73,710373303>0.15,-0.3400000000000001
BARK2,0.7,710373303>0.15,-0.05250000000000005
CAMK1,0.62,710373303>0.15,0.5825
NDR,0.61,710373303>0.15,1.06
MLCK,0.59,710373303>0.15,-0.17250000000000001
CK2,-0.51,710373303>0.15,-0.255
MELK,0.45,710373303>0.15,-0.515
PDHK,0.45,710373303>0.15,0.91875
RAF,0.43,710373303>0.15,0.3575
QIK,0.43,710373303>0.15,0.049999999999999996
DAPK,0.39,710373303>0.15,-0.34
GSK,-0.32,710373303>0.15,-0.50625
PRKDC,-0.3,710373303>0.15,-0.7625000000000001
COT,-0.27,710373303>0.15,0.65875
GRK,0.27,710373303>0.15,0.036250000000000004
VRK1,-0.26,710373303>0.15,-1.22125
ATM,0.16,710373303>0.15,-0.35500000000000004
FRAY,-0.13,710373303>0.15,0.39875
TTK,0.13,710373303>0.15,-0.73
NUAK,0.13,710373303>0.15,-0.72875
CAMK2,0.08,710373303>0.15,0.675
IKK,0.07,710373303>0.15,0.10625000000000004
RAD53,-0.07,710373303>0.15,0.74125
ATR,-0.02,710373303>0.15,-1.0325
PKA,5.7,710373303>0.2,3.9587499999999998
ERK,-4.74,710373303>0.2,-3.2224999999999997
PKG,4.69,710373303>0.2,3.53875
JNK,-4.43,710373303>0.2,-3.59875
DYRK,-4.07,710373303>0.2,-2.94375
PDK1,-3.82,710373303>0.2,-2.24375
RSK,3.58,710373303>0.2,2.37375
P38,-3.55,710373303>0.2,-2.8175
PIM,2.72,710373303>0.2,1.77375
PAKA,2.58,710373303>0.2,2.1662500000000002
DMPK,2.57,710373303>0.2,1.8137500000000002
PHK,2.52,710373303>0.2,1.44625
PKCD,2.46,710373303>0.2,1.22125
STKR,-2.22,710373303>0.2,-1.66625
MTOR,-2.08,710373303>0.2,-1.49
MST,-2.05,710373303>0.2,-0.9537499999999999
PKD,2.05,710373303>0.2,2.0949999999999998
LKB,-2.05,710373303>0.2,-0.9987499999999999
HAL,1.8,710373303>0.2,0.77375
AUR,1.8,710373303>0.2,0.685
PKCI,1.79,710373303>0.2,1.16625
PKCA,1.79,710373303>0.2,1.7312500000000002
VRK1,-1.75,710373303>0.2,-1.22125
PKCH,-1.71,710373303>0.2,-0.3400000000000001
CDK,-1.66,710373303>0.2,-1.87125
NMO,-1.41,710373303>0.2,-1.11375
AKT,1.38,710373303>0.2,0.4074999999999999
CK1,-1.37,710373303>0.2,-1.6712500000000001
RIPK,1.34,710373303>0.2,0.9362499999999999
PASK,1.28,710373303>0.2,0.6625000000000001
STE7,-1.27,710373303>0.2,-1.2862500000000001
STE11,-1.27,710373303>0.2,-0.16375000000000003
MOS,1.25,710373303>0.2,0.40625
SLK,1.25,710373303>0.2,1.55125
PEK,-1.21,710373303>0.2,-0.62375
CHK1,-1.19,710373303>0.2,-1.03875
NAK,-1.15,710373303>0.2,-0.925
TLK,-1.13,710373303>0.2,-0.905
TTK,-1.12,710373303>0.2,-0.73
NUAK,-1.11,710373303>0.2,-0.72875
MLK,1.11,710373303>0.2,0.66875
PKN,-1.09,710373303>0.2,-0.34375000000000006
PAKB,-1.08,710373303>0.2,0.11249999999999998
BARK2,1.03,710373303>0.2,-0.05250000000000005
NEK,-1.01,710373303>0.2,-0.5874999999999999
MLCK,1.01,710373303>0.2,-0.17250000000000001
PRKDC,-1,710373303>0.2,-0.7625000000000001
PLK,-0.97,710373303>0.2,-1.22
SGK,0.95,710373303>0.2,0.53875
BUD32,-0.83,710373303>0.2,-0.39625
AMPK,0.82,710373303>0.2,1.1525
WNK,-0.8,710373303>0.2,-0.10625000000000001
NIK,-0.79,710373303>0.2,-0.6325
ULK,-0.79,710373303>0.2,-0.64125
CAMKK,-0.79,710373303>0.2,-0.63875
KHS,-0.79,710373303>0.2,-0.63875
TAO,-0.78,710373303>0.2,-0.39875
CLK,-0.78,710373303>0.2,-0.6475
BRSK,-0.77,710373303>0.2,-0.63125
CAMK2,0.76,710373303>0.2,0.675
IKK,0.62,710373303>0.2,0.10625000000000004
MARK,0.59,710373303>0.2,0.41125
ATR,-0.58,710373303>0.2,-1.0325
ATM,-0.56,710373303>0.2,-0.35500000000000004
RAD53,0.55,710373303>0.2,0.74125
MSN,0.52,710373303>0.2,0.585
DAPK,-0.52,710373303>0.2,-0.34
MAPKAPK,0.47,710373303>0.2,0.39499999999999996
PDHK,0.45,710373303>0.2,0.91875
CAMK1,0.45,710373303>0.2,0.5825
FRAY,-0.36,710373303>0.2,0.39875
GRK,-0.34,710373303>0.2,0.036250000000000004
QIK,0.31,710373303>0.2,0.049999999999999996
IRAK,-0.18,710373303>0.2,-0.47625
NDR,0.1,710373303>0.2,1.06
MELK,0.1,710373303>0.2,-0.515
RAF,-0.07,710373303>0.2,0.3575
COT,0.07,710373303>0.2,0.65875
CK2,-0.07,710373303>0.2,-0.255
GSK,-0.05,710373303>0.2,-0.50625
PKA,5.95,710373303>0.3,3.9587499999999998
ERK,-5.14,710373303>0.3,-3.2224999999999997
PKG,5.04,710373303>0.3,3.53875
JNK,-4.61,710373303>0.3,-3.59875
DYRK,-4.04,710373303>0.3,-2.94375
P38,-3.48,710373303>0.3,-2.8175
PDK1,-3.4,710373303>0.3,-2.24375
PAKA,3.16,710373303>0.3,2.1662500000000002
DMPK,3.16,710373303>0.3,1.8137500000000002
RSK,3.15,710373303>0.3,2.37375
PKCD,2.81,710373303>0.3,1.22125
PHK,2.69,710373303>0.3,1.44625
PKCA,2.49,710373303>0.3,1.7312500000000002
PKD,2.43,710373303>0.3,2.0949999999999998
AUR,2.17,710373303>0.3,0.685
PIM,2.07,710373303>0.3,1.77375
RIPK,2.05,710373303>0.3,0.9362499999999999
CDK,-2.01,710373303>0.3,-1.87125
HAL,1.95,710373303>0.3,0.77375
STKR,-1.93,710373303>0.3,-1.66625
LKB,-1.83,710373303>0.3,-0.9987499999999999
NMO,-1.77,710373303>0.3,-1.11375
MST,-1.71,710373303>0.3,-0.9537499999999999
VRK1,-1.69,710373303>0.3,-1.22125
MTOR,-1.64,710373303>0.3,-1.49
CK1,-1.58,710373303>0.3,-1.6712500000000001
PDHK,1.44,710373303>0.3,0.91875
PKCI,1.42,710373303>0.3,1.16625
MOS,1.41,710373303>0.3,0.40625
PASK,1.39,710373303>0.3,0.6625000000000001
PKCH,-1.36,710373303>0.3,-0.3400000000000001
SLK,1.35,710373303>0.3,1.55125
AMPK,1.32,710373303>0.3,1.1525
BARK2,1.22,710373303>0.3,-0.05250000000000005
IKK,1.15,710373303>0.3,0.10625000000000004
RAD53,1.14,710373303>0.3,0.74125
NAK,-1.05,710373303>0.3,-0.925
PAKB,-1.04,710373303>0.3,0.11249999999999998
TLK,-1.03,710373303>0.3,-0.905
TTK,-1.03,710373303>0.3,-0.73
PKN,-1.03,710373303>0.3,-0.34375000000000006
RAF,-1.03,710373303>0.3,0.3575
NUAK,-1.02,710373303>0.3,-0.72875
MLK,1.01,710373303>0.3,0.66875
STE11,-0.96,710373303>0.3,-0.16375000000000003
CAMK1,0.94,710373303>0.3,0.5825
AKT,0.94,710373303>0.3,0.4074999999999999
CHK1,-0.92,710373303>0.3,-1.03875
STE7,-0.87,710373303>0.3,-1.2862500000000001
ATR,-0.87,710373303>0.3,-1.0325
MARK,0.78,710373303>0.3,0.41125
TAO,-0.74,710373303>0.3,-0.39875
CLK,-0.73,710373303>0.3,-0.6475
CAMKK,-0.72,710373303>0.3,-0.63875
ULK,-0.72,710373303>0.3,-0.64125
WNK,-0.72,710373303>0.3,-0.10625000000000001
KHS,-0.7,710373303>0.3,-0.63875
BRSK,-0.7,710373303>0.3,-0.63125
MSN,0.7,710373303>0.3,0.585
BUD32,-0.7,710373303>0.3,-0.39625
PRKDC,-0.69,710373303>0.3,-0.7625000000000001
NIK,-0.69,710373303>0.3,-0.6325
CAMK2,0.65,710373303>0.3,0.675
PLK,-0.63,710373303>0.3,-1.22
NEK,-0.58,710373303>0.3,-0.5874999999999999
SGK,0.5,710373303>0.3,0.53875
MAPKAPK,0.48,710373303>0.3,0.39499999999999996
IRAK,-0.47,710373303>0.3,-0.47625
PEK,-0.4,710373303>0.3,-0.62375
ATM,-0.38,710373303>0.3,-0.35500000000000004
QIK,0.31,710373303>0.3,0.049999999999999996
COT,0.3,710373303>0.3,0.65875
NDR,0.26,710373303>0.3,1.06
MLCK,0.26,710373303>0.3,-0.17250000000000001
MELK,0.2,710373303>0.3,-0.515
CK2,0.2,710373303>0.3,-0.255
FRAY,0.1,710373303>0.3,0.39875
GSK,-0.07,710373303>0.3,-0.50625
DAPK,-0.06,710373303>0.3,-0.34
GRK,-0.02,710373303>0.3,0.036250000000000004
PKA,5.47,710373303>0.4,3.9587499999999998
ERK,-5.16,710373303>0.4,-3.2224999999999997
PKG,5.13,710373303>0.4,3.53875
JNK,-4.92,710373303>0.4,-3.59875
DYRK,-4.15,710373303>0.4,-2.94375
P38,-4.04,710373303>0.4,-2.8175
PDK1,-3.57,710373303>0.4,-2.24375
PKCD,3.56,710373303>0.4,1.22125
PAKA,3.48,710373303>0.4,2.1662500000000002
RSK,3.41,710373303>0.4,2.37375
PKD,3.3,710373303>0.4,2.0949999999999998
DMPK,2.77,710373303>0.4,1.8137500000000002
PKCA,2.37,710373303>0.4,1.7312500000000002
MST,-2.35,710373303>0.4,-0.9537499999999999
CDK,-2.33,710373303>0.4,-1.87125
AUR,2.06,710373303>0.4,0.685
PHK,2.04,710373303>0.4,1.44625
PIM,2.01,710373303>0.4,1.77375
PKCI,2,710373303>0.4,1.16625
RIPK,1.96,710373303>0.4,0.9362499999999999
CK1,-1.77,710373303>0.4,-1.6712500000000001
RAD53,1.76,710373303>0.4,0.74125
CAMK1,1.72,710373303>0.4,0.5825
STKR,-1.7,710373303>0.4,-1.66625
AMPK,1.62,710373303>0.4,1.1525
MOS,1.61,710373303>0.4,0.40625
PASK,1.58,710373303>0.4,0.6625000000000001
MTOR,-1.5,710373303>0.4,-1.49
PDHK,1.49,710373303>0.4,0.91875
PLK,-1.49,710373303>0.4,-1.22
NMO,-1.46,710373303>0.4,-1.11375
VRK1,-1.41,710373303>0.4,-1.22125
LKB,-1.41,710373303>0.4,-0.9987499999999999
MLCK,-1.4,710373303>0.4,-0.17250000000000001
MAPKAPK,1.37,710373303>0.4,0.39499999999999996
RAF,-1.31,710373303>0.4,0.3575
MARK,1.3,710373303>0.4,0.41125
IKK,1.14,710373303>0.4,0.10625000000000004
ATR,-1.02,710373303>0.4,-1.0325
NEK,-0.96,710373303>0.4,-0.5874999999999999
GSK,-0.94,710373303>0.4,-0.50625
PRKDC,-0.9,710373303>0.4,-0.7625000000000001
NUAK,-0.88,710373303>0.4,-0.72875
NAK,-0.88,710373303>0.4,-0.925
TTK,-0.87,710373303>0.4,-0.73
PKN,-0.87,710373303>0.4,-0.34375000000000006
TLK,-0.86,710373303>0.4,-0.905
PAKB,-0.86,710373303>0.4,0.11249999999999998
MELK,-0.85,710373303>0.4,-0.515
AKT,0.83,710373303>0.4,0.4074999999999999
PKCH,-0.83,710373303>0.4,-0.3400000000000001
CAMK2,0.8,710373303>0.4,0.675
STE7,-0.77,710373303>0.4,-1.2862500000000001
HAL,0.77,710373303>0.4,0.77375
TAO,-0.64,710373303>0.4,-0.39875
CLK,-0.64,710373303>0.4,-0.6475
CAMKK,-0.63,710373303>0.4,-0.63875
KHS,-0.62,710373303>0.4,-0.63875
WNK,-0.61,710373303>0.4,-0.10625000000000001
BRSK,-0.61,710373303>0.4,-0.63125
ULK,-0.61,710373303>0.4,-0.64125
NDR,0.61,710373303>0.4,1.06
SLK,-0.61,710373303>0.4,1.55125
NIK,-0.6,710373303>0.4,-0.6325
BUD32,-0.6,710373303>0.4,-0.39625
CK2,0.59,710373303>0.4,-0.255
MLK,0.58,710373303>0.4,0.66875
STE11,-0.56,710373303>0.4,-0.16375000000000003
IRAK,-0.54,710373303>0.4,-0.47625
SGK,-0.52,710373303>0.4,0.53875
CHK1,-0.43,710373303>0.4,-1.03875
COT,-0.39,710373303>0.4,0.65875
DAPK,-0.33,710373303>0.4,-0.34
PEK,-0.32,710373303>0.4,-0.62375
FRAY,-0.29,710373303>0.4,0.39875
BARK2,0.23,710373303>0.4,-0.05250000000000005
QIK,-0.23,710373303>0.4,0.049999999999999996
GRK,-0.23,710373303>0.4,0.036250000000000004
MSN,-0.13,710373303>0.4,0.585
